latitude,longitude,data,dia_semana,mes,is_weekend,hora,Sinistro,Chuva,tipo_via_num,tp_veiculo_bicicleta,tp_veiculo_caminhao,tp_veiculo_motocicleta,tp_veiculo_nao_disponivel,tp_veiculo_onibus,tp_veiculo_outros,tp_veiculo_automovel
"-22,37045444699761","-49,05124633197233",2025-09-01,0,9,0,2,0,0,"1,0",0,0,0,0,0,0,0
"-22,3719949398121","-49,025239973547635",2025-08-22,4,8,0,11,0,0,"0,0",0,0,0,0,0,0,0
"-22,34020677","-49,11401671",2025-12-02,1,12,0,23,0,0,"0,0",0,0,0,0,0,0,0
"-22,33246605711713","-49,05612892846074",2024-04-23,1,4,0,17,0,1,"0,0",0,0,0,0,0,0,0
"-22,32344905","-49,05825466",2023-07-26,2,7,0,7,1,0,"0,0",0,0,0,0,0,0,0
"-22,34415962","-48,96567873",2024-08-19,0,8,0,19,1,0,"0,0",1,0,0,0,0,0,1
"-22,183628323887515","-49,137118569028864",2024-12-30,0,12,0,22,0,0,"0,0",0,0,0,0,0,0,0
"-22,2976622","-49,0704041",2023-12-29,4,12,0,14,1,0,"0,0",0,0,1,0,0,0,0
"-22,32184617871687","-49,07018015704456",2025-04-08,1,4,0,14,0,0,"0,0",0,0,0,0,0,0,0
"-22,31725706122961","-49,026623665977624",2023-07-17,0,7,0,22,0,0,"0,0",0,0,0,0,0,0,0
"-22,3267726","-49,0882097",2025-09-24,2,9,0,8,0,0,"0,0",0,0,0,0,0,0,0
"-22,30346449","-49,00289284",2023-07-12,2,7,0,21,1,0,"0,0",0,0,1,0,0,0,0
"-22,325890420046544","-49,05229483987321",2023-12-06,2,12,0,4,0,0,"0,0",0,0,0,0,0,0,0
"-22,32907494","-49,06534198",2022-04-27,2,4,0,9,1,0,"0,0",0,0,0,0,0,0,0
"-22,29448924","-49,05510225",2024-08-21,2,8,0,17,0,1,"0,0",0,0,0,0,0,0,0
"-22,31966296","-49,07801727",2023-02-04,5,2,1,0,0,0,"0,0",0,0,0,0,0,0,0
"-22,351748","-49,101864",2023-12-06,2,12,0,17,1,0,"0,0",0,0,0,0,0,0,0
"-22,31089899","-49,07119023",2022-07-18,0,7,0,22,1,0,"0,0",0,0,1,0,0,0,1
"-22,212931792292984","-49,24352747353807",2022-05-01,6,5,1,2,0,0,"0,0",0,0,0,0,0,0,0
"-22,321738178502926","-49,05903672193219",2023-07-27,3,7,0,18,0,0,"0,0",0,0,0,0,0,0,0
"-22,33757236","-49,11479843",2022-04-25,0,4,0,7,1,0,"0,0",0,0,0,0,0,0,0
"-22,3173772","-49,0665391",2024-02-09,4,2,0,22,1,0,"0,0",0,0,1,0,0,0,1
"-22,34821896","-49,09544372",2022-03-25,4,3,0,8,0,0,"0,0",0,0,0,0,0,0,0
"-22,34325439","-49,07711639",2024-08-24,5,8,1,20,0,0,"0,0",0,0,0,0,0,0,0
"-22,37428439","-49,04888508",2025-08-31,6,8,1,13,0,1,"0,0",0,0,0,0,0,0,0
