hora_sinistro,tipo_via,latitude,longitude,tp_veiculo_bicicleta,tp_veiculo_caminhao,tp_veiculo_motocicleta,tp_veiculo_nao_disponivel,tp_veiculo_onibus,tp_veiculo_outros,tp_veiculo_automovel,Chuva,Sinistro,mes,dia_semana
5,0,-22.320105560449516,-49.06845468190767,0,0,1,0,0,0,1,0,0,4,0
21,0,-22.351963798996422,-49.06031660174322,0,0,0,0,0,0,1,0,0,8,3
22,0,-22.34845078852196,-49.04076416243489,0,0,0,0,0,0,0,0,0,1,2
16,0,-22.317594259179018,-49.109013201944045,0,0,0,0,0,0,2,0,0,1,2
15,0,-22.31718655,-49.0753247,0,0,0,0,0,0,0,0,1,7,1
14,1,-22.28780043,-49.08016493,0,0,0,0,0,0,1,0,1,2,1
6,0,-22.327105059842378,-49.080708528709515,0,0,0,0,0,0,0,0,0,9,6
7,0,-22.3040166,-49.0819954,0,0,0,0,0,0,0,0,1,10,2
10,0,-22.333733652261017,-49.048358097983275,0,0,0,0,0,0,0,0,0,10,4
10,0,-22.30551247,-49.06994722,0,0,1,0,0,0,1,0,1,4,0
18,0,-22.301251833933406,-49.05986344716218,0,0,0,0,0,0,2,0,0,12,0
16,0,-22.37428439,-49.04888508,0,0,0,0,0,0,0,0,1,7,1
18,0,-22.354288,-49.098557,0,0,0,0,0,0,0,0,1,8,6
18,0,-22.3122874,-49.0699996,0,0,0,0,0,0,0,0,1,6,4
19,0,-22.308410906996965,-49.12105643083675,0,0,0,0,0,0,2,1,0,10,2
7,0,-22.3319378,-49.08623402,0,0,0,0,0,0,0,0,1,11,3
12,0,-22.330152947947415,-49.06150070565659,0,0,0,0,0,0,0,0,0,9,2
12,0,-22.321443763971807,-49.09006675996679,0,0,0,0,0,0,1,0,0,10,3
19,0,-22.31082015,-48.9935578,0,0,2,0,0,0,0,0,1,1,0
23,0,-22.33216146,-49.08623324,0,0,0,0,0,0,0,0,1,1,1
19,0,-22.31544078,-49.13716185,0,0,0,0,0,0,0,1,1,10,5
20,0,-22.3306165279605,-49.07618616075487,0,0,1,0,0,0,1,1,0,3,4
7,0,-22.360603959187706,-49.05428140814766,0,0,0,1,0,0,0,0,0,10,0
10,0,-22.31560471,-49.09769047,0,0,0,0,0,0,0,0,1,9,5
21,0,-22.32911881,-49.11632326,0,0,0,0,0,0,0,0,1,12,4
12,0,-22.321443763971807,-49.09006675996679,0,0,0,0,0,0,1,0,0,10,3
22,0,-22.302600323889596,-49.09747804072644,0,0,0,0,0,0,0,0,0,8,3
8,0,-22.3283392,-49.0946234,0,0,0,0,0,0,0,0,1,6,3
23,0,-22.3287111920887,-49.091984059553184,0,0,1,0,0,0,1,0,0,12,3
23,0,-22.32599503386973,-49.07961580753089,0,0,0,0,0,0,0,0,0,7,2
19,0,-22.319370354511,-49.043724765570026,0,0,0,0,0,0,0,0,0,2,4
22,0,-22.345216281392965,-49.078321353085116,0,0,0,0,0,0,0,0,0,2,6
18,0,-22.339149843425147,-49.07168268355268,0,0,1,0,0,0,1,0,0,11,0
18,1,-22.31568115,-49.141877,0,0,0,0,0,0,1,0,1,7,5
7,0,-22.32840279669812,-49.04987280031167,0,0,0,0,0,0,0,0,0,3,4
18,0,-22.30441747352077,-49.099738833764654,0,0,1,0,0,0,0,0,0,1,5
6,1,-22.2333616,-49.1513674,0,0,0,0,0,0,0,1,1,8,0
17,0,-22.329206280056802,-49.081894187866496,0,0,0,0,0,0,0,0,0,6,2
19,0,-22.33673521139399,-49.06701730121445,0,0,0,0,0,0,0,0,0,5,5
8,0,-22.309994088192386,-49.01871316974984,0,0,0,0,0,0,0,1,0,2,3
17,0,-22.328252268324004,-49.096577933452785,0,0,0,0,0,0,0,0,0,3,5
17,1,-22.28181396,-49.08674314,0,0,0,0,0,0,1,0,1,6,0
15,0,-22.331585,-49.085565,0,0,0,0,0,0,0,0,1,12,1
7,0,-22.340663254541894,-49.02383818968825,0,0,0,0,0,0,0,1,0,8,4
21,0,-22.310806688204103,-49.02101842468845,0,0,0,0,0,0,0,0,0,2,4
22,0,-22.335514,-49.04839,0,0,0,0,0,0,0,0,1,1,2
17,0,-22.32840921519931,-49.06673845946471,0,1,0,0,0,0,1,0,0,7,2
17,0,-22.337238267643684,-49.113031538870665,0,0,0,0,0,0,0,0,0,7,0
9,0,-22.318592028982803,-49.06897657978206,0,0,1,0,0,0,1,0,0,3,3
7,0,-22.34618004,-49.06112009,0,0,1,0,0,0,1,0,1,5,4
19,0,-22.298828,-49.06237,0,0,0,0,0,0,0,0,1,12,0
22,0,-22.317392723402225,-49.08679759719943,0,0,1,0,0,0,1,0,0,5,6
18,0,-22.33740444,-49.07632984,0,0,1,0,0,0,1,0,1,7,3
11,0,-22.29983687,-49.06568767,0,0,0,0,0,0,1,0,1,5,4
16,0,-22.374248646370027,-49.04888420176009,0,0,0,0,0,0,0,1,0,4,1
18,0,-22.281347090136112,-49.06763204766596,0,0,1,0,0,0,0,0,0,8,0
1,0,-22.325977944639185,-49.079604936843594,0,0,0,0,0,0,0,0,0,1,0
12,0,-22.33966335,-49.04977742,0,0,1,0,0,0,1,0,1,7,4
17,0,-22.329085948173024,-49.08390134510494,0,0,0,0,0,0,0,0,0,1,0
19,1,-22.316836732939965,-48.9956526877104,0,0,1,0,0,0,1,0,0,10,6
10,0,-22.320351780430624,-49.07735584456888,0,0,1,0,0,0,1,0,0,2,0
7,0,-22.330706012823104,-49.07615093528834,0,0,0,0,0,0,0,0,0,1,1
16,0,-22.33111245782995,-49.06965216890642,0,0,1,0,0,0,3,0,0,12,4
19,0,-22.31568573,-49.09821608,0,0,1,0,0,0,0,0,1,11,1
8,0,-22.31987243,-49.07606565,0,0,0,0,0,0,0,0,1,2,2
7,0,-22.372036175183847,-49.06064872907211,0,0,0,0,0,0,0,1,0,10,4
22,1,-22.31179464264173,-49.05590129316031,0,0,0,0,0,0,0,0,0,5,4
23,0,-22.3258962,-49.07970414,0,0,0,0,0,0,0,1,1,10,1
19,0,-22.30576792,-49.05065397,0,0,0,0,0,0,2,0,1,4,3
19,0,-22.3307911,-49.0782269,0,0,1,0,0,0,0,0,1,7,6
4,1,-22.1990036,-49.1872011,0,1,0,0,0,0,0,0,1,12,4
8,0,-22.320865440928944,-49.06951536757595,0,0,0,0,0,0,0,0,0,6,1
8,0,-22.32077411966202,-49.01385410205589,0,0,0,0,0,0,0,0,0,8,3
1,0,-22.33221081,-49.08626258,0,0,0,0,0,0,1,0,1,10,6
15,0,-22.327472256507967,-49.0599938575964,0,0,0,0,0,0,2,0,0,12,4
8,0,-22.328611439993256,-49.05996793842071,0,0,1,0,0,0,1,0,0,1,5
10,0,-22.32052606023016,-49.07271091569901,0,0,1,0,0,0,1,0,0,8,0
23,0,-22.35335173598966,-49.049858846808306,0,0,0,2,0,0,0,0,0,2,3
22,0,-22.30805692,-49.09045302,0,0,0,0,0,0,0,0,1,5,0
8,0,-22.344797020912836,-49.07787070097445,0,1,1,0,0,0,0,0,0,9,5
8,0,-22.34325439,-49.07711639,0,0,1,0,0,0,0,0,1,6,4
19,1,-22.327566397958552,-49.11297680785412,0,0,1,0,0,0,1,0,0,8,3
12,0,-22.3398621035955,-49.0916434385404,0,0,0,0,0,0,0,0,0,2,5
13,0,-22.367434352515506,-49.02084432173883,0,0,0,0,0,0,0,0,0,5,0
12,0,-22.322418151784543,-49.06997825751244,0,0,1,0,0,0,1,0,0,11,3
12,0,-22.326593667790494,-49.07949961703033,0,0,1,0,0,0,0,0,0,2,3
21,0,-22.32218113,-49.03673056,0,0,0,0,0,0,0,0,1,2,5
21,0,-22.329101996174526,-49.116302735579204,0,0,0,0,0,0,0,0,0,12,4
20,0,-22.34274394004389,-49.093775829704704,0,0,0,0,0,0,0,1,0,2,1
18,0,-22.308697840890748,-49.07263419157508,0,0,1,0,0,0,0,0,0,10,4
21,0,-22.335097871744313,-49.090258228897056,0,0,0,0,0,0,0,0,0,9,6
21,0,-22.313618733499403,-49.03363793811579,0,0,1,0,0,0,0,0,0,8,6
19,1,-22.3140822,-48.9959689,0,0,0,0,0,0,1,0,1,2,5
18,0,-22.35527131,-49.10481818,0,0,0,0,0,0,0,0,1,1,1
17,0,-22.32906996586928,-49.09339980495296,0,0,0,0,0,0,1,0,0,9,2
20,0,-22.33136376,-49.02292144,0,0,0,0,0,0,1,0,1,1,5
11,0,-22.3057677676762,-49.05059743035883,0,0,0,0,0,0,0,0,0,1,0
15,0,-22.32647,-49.1074958,0,0,0,0,0,0,0,0,1,11,3
8,1,-22.33413211930375,-49.01603157400056,0,0,1,0,0,0,0,0,0,3,1
16,0,-22.33180868,-49.07793576,0,0,0,0,0,0,1,0,1,1,2
21,0,-22.3135007,-49.0327051,0,0,0,0,0,0,0,0,1,3,3
15,1,-22.320224111874417,-49.003777633687015,0,0,0,0,0,0,0,0,0,8,6
2,2,-9999.0,-9999.0,0,0,1,0,0,0,0,0,1,4,6
19,0,-22.34261269884945,-49.05597298639492,0,0,1,0,0,0,1,0,0,4,2
8,0,-22.338500746485376,-49.06474341157017,0,0,0,0,0,0,2,0,0,2,5
15,0,-22.33231743348081,-49.08627092974154,0,0,0,0,0,0,0,0,0,3,6
15,0,-22.32291298843205,-49.054845054030274,0,0,0,0,0,0,1,0,0,4,4
19,0,-22.274317070086347,-49.068198540819644,0,0,0,0,0,0,0,0,0,6,6
19,0,-22.281625887331188,-49.06753255572952,0,0,1,0,0,0,1,0,0,12,1
21,0,-22.310103701271363,-49.07212771923022,0,0,0,0,0,0,0,1,0,12,2
10,0,-22.2929591,-49.10265,0,1,0,0,0,0,1,0,1,9,1
22,0,-22.307517087244825,-49.00364268716258,0,0,0,0,0,0,0,0,0,9,0
6,0,-22.32436833,-49.05792094,0,0,1,0,0,0,1,0,1,9,4
21,0,-22.342201521251706,-49.09371121304651,0,0,0,0,0,0,2,1,0,1,1
22,1,-22.31460198,-49.05514331,0,0,0,0,0,0,1,0,1,11,3
7,0,-22.334922118980796,-49.096690336617286,0,0,1,0,0,0,0,0,0,5,3
18,0,-22.335265691662332,-49.032493907406014,0,0,0,0,0,0,2,0,0,8,5
11,0,-22.33337189511495,-49.10479539426138,0,0,1,0,0,0,1,0,0,5,2
20,0,-22.33631663,-49.06853003,0,0,0,0,0,0,0,0,1,7,4
6,0,-22.34338497,-49.06191435,0,0,1,0,0,0,1,0,1,1,5
7,0,-22.35365396,-49.04141092,0,0,1,0,0,0,1,0,1,10,1
21,0,-22.364476231453004,-49.107773312032705,0,0,1,0,0,0,1,0,0,10,5
16,0,-22.374248646370027,-49.04888420176009,0,0,0,0,0,0,0,1,0,4,1
20,0,-22.3174239,-49.070567,0,0,0,0,1,0,0,0,1,7,6
9,0,-22.315085442564897,-49.073104955664455,0,0,0,2,0,0,0,0,0,1,3
18,0,-22.312331776702724,-49.069946131098895,0,0,1,0,0,0,0,0,0,11,3
18,0,-22.327335849140663,-49.08413973741163,0,0,1,0,0,0,1,0,0,9,4
10,0,-22.32721284282957,-49.07388354522242,0,0,0,0,0,0,0,0,0,9,1
